rank,data_distribution,host_to_device,kernel_execution,device_to_host,data_collection,total_time,global_start,data_dist_start,data_dist_end,host_to_dev_start,host_to_dev_end,kernel_start,kernel_end,dev_to_host_start,dev_to_host_end,data_coll_start,data_coll_end,global_end
0,0.287243,0.001841,0.000647,0.001446,0.180904,0.472094,0.000010,0.000021,0.287265,0.287265,0.289107,0.289107,0.289753,0.289754,0.291199,0.291199,0.472104,0.472104
1,0.038918,0.001775,0.000718,0.001452,0.277416,0.320324,0.000025,0.000070,0.038987,0.038988,0.040762,0.040762,0.041480,0.041480,0.042932,0.042932,0.320348,0.320349
2,0.056729,0.004943,0.000720,0.001441,0.267288,0.331166,0.000014,0.000059,0.056788,0.056788,0.061731,0.061731,0.062451,0.062451,0.063892,0.063892,0.331180,0.331180
3,0.074880,0.020465,0.000724,0.001451,0.244471,0.342007,0.000023,0.000039,0.074919,0.074919,0.095384,0.095384,0.096108,0.096108,0.097559,0.097559,0.342030,0.342030
4,0.092726,0.005128,0.000721,0.001473,0.252791,0.352854,0.000008,0.000023,0.092748,0.092748,0.097876,0.097876,0.098597,0.098597,0.100070,0.100070,0.352861,0.352861
5,0.110675,0.004809,0.000723,0.001461,0.246006,0.363690,0.000021,0.000036,0.110711,0.110711,0.115520,0.115520,0.116244,0.116244,0.117705,0.117705,0.363711,0.363711
6,0.128554,0.004269,0.000722,0.001467,0.239510,0.374532,0.000011,0.000020,0.128575,0.128575,0.132844,0.132844,0.133566,0.133566,0.135033,0.135033,0.374543,0.374543
7,0.146394,0.004271,0.000723,0.001472,0.232493,0.385368,0.000019,0.000033,0.146427,0.146427,0.150698,0.150699,0.151421,0.151421,0.152894,0.152894,0.385387,0.385387
8,0.164258,0.004866,0.000716,0.001470,0.224859,0.396213,0.000006,0.000049,0.164307,0.164307,0.169173,0.169173,0.169889,0.169889,0.171359,0.171359,0.396218,0.396219
9,0.182491,0.001809,0.000723,0.001468,0.220546,0.407054,0.000019,0.000036,0.182527,0.182527,0.184336,0.184336,0.185059,0.185059,0.186527,0.186527,0.407073,0.407073
10,0.200225,0.001792,0.000721,0.001456,0.213684,0.417892,0.000011,0.000024,0.200249,0.200249,0.202042,0.202042,0.202763,0.202763,0.204219,0.204219,0.417903,0.417903
11,0.217606,0.001786,0.000727,0.001467,0.207135,0.428735,0.000018,0.000034,0.217639,0.217639,0.219425,0.219425,0.220152,0.220152,0.221618,0.221618,0.428753,0.428753
12,0.235128,0.005535,0.000723,0.001450,0.196729,0.439580,0.000003,0.000018,0.235146,0.235146,0.240682,0.240682,0.241405,0.241405,0.242854,0.242854,0.439583,0.439583
13,0.252481,0.004882,0.000720,0.001446,0.190875,0.450419,0.000018,0.000032,0.252513,0.252514,0.257395,0.257395,0.258116,0.258116,0.259561,0.259561,0.450436,0.450436
14,0.269968,0.001786,0.000711,0.001453,0.187324,0.461258,0.000007,0.000022,0.269990,0.269990,0.271776,0.271776,0.272488,0.272488,0.273941,0.273941,0.461265,0.461265
15,0.287241,0.004261,0.000717,0.001469,0.178398,0.472099,0.000014,0.000025,0.287267,0.287267,0.291528,0.291528,0.292245,0.292245,0.293714,0.293714,0.472113,0.472113
